CustomerID,Recency,Frequency,Monetary,R_score,F_score,M_score,RFM_score,Segment
12346.0,325,2,0.0,1,1,1,111,At Risk
12347.0,1,182,4310.0,4,4,4,444,Best Customers
12348.0,74,31,1797.24,2,2,4,224,At Risk
12349.0,18,73,1757.55,3,3,4,334,Loyal Customers
12350.0,309,17,334.4,1,1,2,112,At Risk
12352.0,35,95,1545.41,3,3,3,333,Loyal Customers
12353.0,203,4,89.0,1,1,1,111,At Risk
12354.0,231,58,1079.4,1,3,3,133,Loyal Customers
12355.0,213,13,459.4,1,1,2,112,At Risk
12356.0,22,59,2811.43,3,3,4,334,Loyal Customers
12357.0,32,131,6207.67,3,4,4,344,Loyal Customers
12358.0,1,19,1168.06,4,2,3,423,New Customers
12359.0,7,254,6245.53,4,4,4,444,Best Customers
12360.0,51,129,2662.06,2,4,4,244,Loyal Customers
12361.0,286,10,189.9,1,1,1,111,At Risk
12362.0,2,274,5154.58,4,4,4,444,Best Customers
12363.0,109,23,552.0,2,2,2,222,At Risk
12364.0,7,85,1313.1,4,3,3,433,Loyal Customers
12365.0,290,23,320.69,1,2,2,122,At Risk
12367.0,3,11,168.9,4,1,1,411,New Customers
12370.0,50,167,3545.69,2,4,4,244,Loyal Customers
12371.0,44,63,1887.96,3,3,4,334,Loyal Customers
12372.0,71,52,1298.04,2,3,3,233,Loyal Customers
12373.0,310,14,364.6,1,1,2,112,At Risk
12374.0,24,33,742.9300000000001,3,2,3,323,New Customers
12375.0,2,18,455.42,4,2,2,422,New Customers
12377.0,314,77,1628.12,1,3,4,134,Loyal Customers
12378.0,129,219,4008.62,2,4,4,244,Loyal Customers
12379.0,81,41,850.29,2,2,3,223,At Risk
12380.0,21,105,2720.56,3,4,4,344,Loyal Customers
12381.0,4,91,1803.96,4,3,4,434,Loyal Customers
12383.0,184,100,1839.31,1,3,4,134,Loyal Customers
12384.0,28,30,566.16,3,2,2,322,New Customers
12386.0,337,10,401.9,1,1,2,112,At Risk
12388.0,15,100,2780.66,4,3,4,434,Loyal Customers
12390.0,79,32,549.84,2,2,2,222,At Risk
12391.0,21,100,460.89,3,3,2,332,Loyal Customers
12393.0,71,64,1582.6000000000001,2,3,3,233,Loyal Customers
12394.0,63,27,1272.48,2,2,3,223,At Risk
12395.0,15,159,2998.28,4,4,4,444,Best Customers
12397.0,35,126,2409.9,3,4,4,344,Loyal Customers
12398.0,45,85,1635.6599999999999,3,3,4,334,Loyal Customers
12399.0,118,59,1108.65,2,3,3,233,Loyal Customers
12401.0,302,5,84.3,1,1,1,111,At Risk
12402.0,322,11,225.6,1,1,1,111,At Risk
12403.0,49,6,409.7,3,1,2,312,New Customers
12405.0,148,54,1710.39,1,3,4,134,Loyal Customers
12406.0,21,108,3280.75,3,4,4,344,Loyal Customers
12407.0,49,77,1708.1200000000001,3,3,4,334,Loyal Customers
12408.0,32,113,2842.57,3,4,4,344,Loyal Customers
12409.0,78,114,11056.93,2,4,4,244,Loyal Customers
